Entity,Position,Count
YFOURTH,1,1
YHIGHEST,1,19
YSECOND,1,4
XLEAST,1,8
other,1,16
XHIGHEST,1,95
XTHIRD,1,9
XSECOND,1,25
YTHIRD,1,2
YHIGHEST,2,65
YSECOND,2,10
YLEAST,2,8
XLEAST,2,21
other,2,11
XSECOND,2,7
XFOURTH,2,14
XTHIRD,2,1
XHIGHEST,2,33
YTHIRD,2,8
YFOURTH,3,1
YHIGHEST,3,19
YSECOND,3,16
XLEAST,3,23
other,3,11
XHIGHEST,3,22
XFOURTH,3,11
XTHIRD,3,2
XSECOND,3,49
YLEAST,3,15
YTHIRD,3,2
YFOURTH,4,6
YHIGHEST,4,21
YSECOND,4,47
XLEAST,4,23
other,4,8
XSECOND,4,20
YLEAST,4,18
XTHIRD,4,2
XHIGHEST,4,14
XFOURTH,4,4
YFOURTH,5,1
YHIGHEST,5,8
YSECOND,5,10
YLEAST,5,12
XLEAST,5,11
other,5,8
XSECOND,5,6
XFOURTH,5,3
XTHIRD,5,42
XHIGHEST,5,18
YTHIRD,5,10
XSECOND,6,8
YFOURTH,6,2
YHIGHEST,6,14
YSECOND,6,6
XLEAST,6,12
other,6,9
XFOURTH,6,2
YLEAST,6,12
XTHIRD,6,16
XHIGHEST,6,7
YTHIRD,6,33
YFOURTH,7,13
YHIGHEST,7,4
YSECOND,7,3
YLEAST,7,9
XLEAST,7,6
other,7,10
XSECOND,7,3
XFOURTH,7,34
XTHIRD,7,12
XHIGHEST,7,6
YTHIRD,7,10
YFOURTH,8,34
YHIGHEST,8,4
YSECOND,8,2
YLEAST,8,5
XLEAST,8,7
other,8,11
XHIGHEST,8,4
XFOURTH,8,20
XTHIRD,8,8
XSECOND,8,1
YTHIRD,8,11
YFOURTH,9,5
YHIGHEST,9,1
YLEAST,9,13
XLEAST,9,40
other,9,1
XHIGHEST,9,5
XFOURTH,9,16
XTHIRD,9,7
YTHIRD,9,6
YFOURTH,10,12
YHIGHEST,10,5
YLEAST,10,39
XLEAST,10,16
other,10,1
XHIGHEST,10,1
XFOURTH,10,5
XTHIRD,10,4
YTHIRD,10,6
YFOURTH,11,5
YLEAST,11,5
XLEAST,11,8
other,11,3
XHIGHEST,11,4
XFOURTH,11,4
YTHIRD,11,1
YFOURTH,12,2
YLEAST,12,7
XLEAST,12,4
other,12,2
XHIGHEST,12,1
XFOURTH,12,4
XSECOND,12,2
YFOURTH,13,1
XLEAST,13,3
other,13,3
XHIGHEST,13,1
XFOURTH,13,1
XSECOND,13,1
XTHIRD,14,1
YLEAST,14,1
XLEAST,14,2
other,14,1
XTHIRD,15,1
